counter	pd	associated_permutation	knot_type
1	(2,2,2,2,2,2,2)	(1,3,5,7,2,4,6)	m3.1
2	(2,2,2,2,4,5,4)	(1,3,5,7,2,6,4)	a4.1
3	(2,3,3,2,3,5,3)	(1,3,6,2,4,7,5)	p5.2
4	(2,3,3,3,2,4,4)	(1,3,6,2,5,7,4)	p5.1
5	(3,3,3,3,3,3,3)	(1,4,7,3,6,2,5)	p8.19
6	(2,3,5,5,5,5,3)	(1,3,6,4,2,7,5)	a4.1
7	(2,4,5,4,4,5,4)	(1,3,7,5,2,6,4)	m5.2
8	(3,3,5,4,4,4,5)	(1,4,7,5,2,6,3)	m5.1
9	(4,4,4,4,4,4,4)	(1,5,2,6,3,7,4)	m8.19
10	(5,5,5,5,5,5,5)	(1,6,4,2,7,5,3)	p3.1
11	(1,1,1,1,1,1,1)	(1,2,3,4,5,6,7)	a0.1
12	(1,1,1,1,2,6,2)	(1,2,3,4,5,7,6)	a0.1
13	(1,1,1,2,1,5,3)	(1,2,3,4,6,7,5)	a0.1
14	(1,1,1,3,5,1,2)	(1,2,3,4,7,5,6)	a0.1
15	(1,1,2,1,1,4,4)	(1,2,3,5,6,7,4)	a0.1
16	(1,1,2,2,4,2,2)	(1,2,3,5,7,4,6)	p3.1
17	(1,1,3,1,4,1,3)	(1,2,3,6,7,4,5)	a0.1
18	(1,2,1,2,3,3,2)	(1,2,4,5,7,3,6)	a0.1
19	(1,2,2,1,3,2,3)	(1,2,4,6,7,3,5)	a0.1
20	(1,1,1,3,6,6,3)	(1,2,3,4,7,6,5)	a0.1
21	(1,1,2,2,6,5,4)	(1,2,3,5,7,6,4)	a0.1
22	(1,1,2,6,3,6,2)	(1,2,3,5,4,7,6)	a0.1
23	(1,1,3,1,5,6,4)	(1,2,3,6,7,5,4)	a0.1
24	(1,1,3,5,3,5,3)	(1,2,3,6,4,7,5)	m3.1
25	(1,1,3,6,2,4,4)	(1,2,3,6,5,7,4)	a0.1
26	(1,1,4,4,2,6,3)	(1,2,3,7,4,6,5)	a0.1
27	(1,1,4,5,1,5,4)	(1,2,3,7,5,6,4)	a0.1
28	(1,1,4,5,6,2,2)	(1,2,3,7,5,4,6)	a0.1
29	(1,1,4,6,5,1,3)	(1,2,3,7,6,4,5)	a0.1
30	(1,2,1,2,6,4,5)	(1,2,4,5,7,6,3)	a0.1
31	(1,2,1,5,4,6,2)	(1,2,4,5,3,7,6)	a0.1
32	(1,2,2,1,5,5,5)	(1,2,4,6,7,5,3)	a0.1
33	(1,2,2,4,4,5,3)	(1,2,4,6,3,7,5)	a0.1
34	(1,2,2,6,2,3,5)	(1,2,4,6,5,7,3)	a0.1
35	(1,2,3,3,3,6,3)	(1,2,4,7,3,6,5)	a0.1
36	(1,2,3,5,1,4,5)	(1,2,4,7,5,6,3)	a0.1
37	(1,2,3,5,5,3,2)	(1,2,4,7,5,3,6)	m3.1
38	(1,2,3,6,4,2,3)	(1,2,4,7,6,3,5)	a0.1
39	(1,2,6,2,2,6,2)	(1,2,4,3,5,7,6)	a0.1
40	(1,2,6,3,1,5,3)	(1,2,4,3,6,7,5)	a0.1
41	(1,3,1,4,4,4,4)	(1,2,5,6,3,7,4)	a0.1
42	(1,3,1,5,3,3,5)	(1,2,5,6,4,7,3)	a0.1
43	(1,3,2,3,3,5,4)	(1,2,5,7,3,6,4)	a0.1
44	(1,3,2,4,2,4,5)	(1,2,5,7,4,6,3)	p3.1
45	(1,3,2,4,6,3,2)	(1,2,5,7,4,3,6)	a0.1
46	(1,3,2,6,4,1,4)	(1,2,5,7,6,3,4)	a0.1
47	(1,3,5,1,3,6,2)	(1,2,5,3,4,7,6)	a0.1
48	(1,3,5,3,1,4,4)	(1,2,5,3,6,7,4)	a0.1
49	(1,3,5,4,4,2,2)	(1,2,5,3,7,4,6)	a0.1
50	(1,3,6,3,3,3,2)	(1,2,5,4,7,3,6)	a0.1
51	(1,4,1,4,1,5,5)	(1,2,6,7,4,5,3)	a0.1
52	(1,4,1,4,6,2,3)	(1,2,6,7,4,3,5)	a0.1
53	(1,4,4,2,2,4,4)	(1,2,6,3,5,7,4)	p3.1
54	(1,4,5,3,3,2,3)	(1,2,6,4,7,3,5)	a0.1
55	(1,5,3,2,1,5,4)	(1,2,7,3,5,6,4)	a0.1
56	(1,5,3,2,6,2,2)	(1,2,7,3,5,4,6)	a0.1
57	(1,5,4,2,4,2,3)	(1,2,7,4,6,3,5)	p3.1
58	(2,2,2,4,2,3,6)	(1,3,5,7,4,6,2)	p3.1
59	(2,2,2,6,3,2,4)	(1,3,5,7,6,2,4)	p3.1
60	(1,1,4,6,6,6,4)	(1,2,3,7,6,5,4)	a0.1
61	(1,2,3,6,6,5,5)	(1,2,4,7,6,5,3)	a0.1
62	(1,2,6,4,6,6,3)	(1,2,4,3,7,6,5)	a0.1
63	(1,3,2,6,5,6,5)	(1,2,5,7,6,4,3)	a0.1
64	(1,3,5,4,6,5,4)	(1,2,5,3,7,6,4)	a0.1
