counter	pd	associated_permutation	knot_type
1	(2,2,2,2,2,2,2,2,2)	(1,3,5,7,9,2,4,6,8)	p5.1
2	(2,2,2,2,2,2,4,7,4)	(1,3,5,7,9,2,4,8,6)	a0.1
3	(2,2,2,2,2,4,2,5,6)	(1,3,5,7,9,2,6,8,4)	a0.1
4	(2,2,2,2,2,6,5,2,4)	(1,3,5,7,9,2,8,4,6)	a0.1
5	(2,2,2,2,4,4,3,4,4)	(1,3,5,7,9,4,8,2,6)	p5.2
6	(2,2,2,2,6,2,3,2,6)	(1,3,5,7,9,6,8,2,4)	p3.1#p3.1
7	(2,2,3,3,2,2,3,7,3)	(1,3,5,8,2,4,6,9,7)	m5.1
8	(2,2,3,3,2,3,2,6,4)	(1,3,5,8,2,4,7,9,6)	m5.2
9	(2,2,3,3,4,3,4,3,3)	(1,3,5,8,2,6,9,4,7)	m8.20
10	(2,2,3,3,5,2,4,2,4)	(1,3,5,8,2,7,9,4,6)	a6.3
11	(2,2,3,5,2,3,2,5,3)	(1,3,5,8,4,6,9,2,7)	p8.21
12	(2,2,3,5,3,2,2,4,4)	(1,3,5,8,4,7,9,2,6)	p6.2
13	(2,2,4,2,4,2,5,3,3)	(1,3,5,9,2,6,8,4,7)	a6.3
14	(2,2,4,6,2,3,2,3,3)	(1,3,5,9,6,8,2,4,7)	m5.2
15	(2,3,2,3,2,3,2,5,5)	(1,3,6,8,2,4,7,9,5)	m3.1
16	(2,3,2,3,3,4,4,3,3)	(1,3,6,8,2,5,9,4,7)	p3.1#m3.1
17	(2,3,3,2,3,3,5,3,3)	(1,3,6,9,2,5,8,4,7)	p8.20
18	(2,2,2,2,2,6,7,7,6)	(1,3,5,7,9,2,8,6,4)	p5.2
19	(2,2,2,2,4,7,6,7,4)	(1,3,5,7,9,4,2,8,6)	m3.1
20	(2,2,2,2,6,5,6,5,6)	(1,3,5,7,9,6,2,8,4)	m3.1
21	(2,2,2,4,6,5,5,6,4)	(1,3,5,7,2,8,4,9,6)	m3.1#m3.1
22	(2,2,2,4,6,7,3,4,6)	(1,3,5,7,2,8,6,9,4)	m5.2
23	(2,2,2,4,7,4,4,7,4)	(1,3,5,7,2,9,4,8,6)	m3.1
24	(2,2,2,4,7,6,2,5,6)	(1,3,5,7,2,9,6,8,4)	m3.1
25	(2,2,2,6,4,3,7,6,4)	(1,3,5,7,4,8,2,9,6)	m5.2
26	(2,2,2,6,5,2,6,7,4)	(1,3,5,7,4,9,2,8,6)	m3.1
27	(2,2,3,3,4,3,7,6,6)	(1,3,5,8,2,6,9,7,4)	p6.1
28	(2,2,3,3,4,7,5,7,3)	(1,3,5,8,2,6,4,9,7)	m6.2
29	(2,2,3,3,5,2,6,7,6)	(1,3,5,8,2,7,9,6,4)	p6.2
30	(2,2,3,3,5,6,5,6,4)	(1,3,5,8,2,7,4,9,6)	m8.21
31	(2,2,3,3,7,6,7,3,3)	(1,3,5,8,2,9,6,4,7)	m5.1
32	(2,2,3,3,7,7,6,2,4)	(1,3,5,8,2,9,7,4,6)	m5.2
33	(2,2,3,5,2,5,7,7,3)	(1,3,5,8,4,6,2,9,7)	a6.3
34	(2,2,3,5,3,4,7,6,4)	(1,3,5,8,4,7,2,9,6)	p8.20
35	(2,2,3,5,5,6,5,5,3)	(1,3,5,8,4,9,6,2,7)	m3.1
36	(2,2,3,5,5,7,4,4,4)	(1,3,5,8,4,9,7,2,6)	a0.1
37	(2,2,3,5,7,4,3,7,3)	(1,3,5,8,4,2,6,9,7)	m6.2
38	(2,2,3,5,7,5,2,6,4)	(1,3,5,8,4,2,7,9,6)	m6.1
39	(2,2,3,7,3,2,5,6,6)	(1,3,5,8,6,9,2,7,4)	p6.1
40	(2,2,3,7,3,4,7,5,3)	(1,3,5,8,6,9,4,2,7)	m6.2
41	(2,2,3,7,3,7,4,2,6)	(1,3,5,8,6,9,7,2,4)	p3.1#m3.1
42	(2,2,3,7,5,2,5,7,3)	(1,3,5,8,6,2,4,9,7)	a6.3
43	(2,2,3,7,5,5,2,4,6)	(1,3,5,8,6,2,7,9,4)	a0.1
44	(2,2,3,7,5,7,4,3,3)	(1,3,5,8,6,2,9,4,7)	m6.2
45	(2,2,3,7,7,5,2,5,3)	(1,3,5,8,6,4,9,2,7)	a6.3
46	(2,2,4,2,5,6,4,7,4)	(1,3,5,9,2,7,4,8,6)	m6.2
47	(2,2,4,2,6,7,7,3,3)	(1,3,5,9,2,8,6,4,7)	m5.2
48	(2,2,4,4,3,4,6,7,4)	(1,3,5,9,4,7,2,8,6)	a6.3
49	(2,2,4,4,4,7,5,5,3)	(1,3,5,9,4,8,6,2,7)	a0.1
50	(2,2,4,6,2,3,5,6,6)	(1,3,5,9,6,8,2,7,4)	p6.2
51	(2,2,4,6,2,5,7,5,3)	(1,3,5,9,6,8,4,2,7)	m6.1
52	(2,2,4,6,5,6,5,3,3)	(1,3,5,9,6,2,8,4,7)	m8.21
53	(2,2,4,6,7,4,3,5,3)	(1,3,5,9,6,4,8,2,7)	p8.20
54	(2,2,4,7,4,2,4,7,4)	(1,3,5,9,7,2,4,8,6)	p5.2
55	(2,2,4,7,4,4,2,5,6)	(1,3,5,9,7,2,6,8,4)	p5.2
56	(2,2,4,7,4,6,5,2,4)	(1,3,5,9,7,2,8,4,6)	m6.2
57	(2,2,4,7,6,4,3,4,4)	(1,3,5,9,7,4,8,2,6)	a6.3
58	(2,2,6,2,4,7,3,7,3)	(1,3,5,2,4,8,6,9,7)	p3.1#m3.1
59	(2,2,6,4,2,5,5,7,3)	(1,3,5,2,6,8,4,9,7)	a0.1
60	(2,2,6,5,2,4,4,7,4)	(1,3,5,2,7,9,4,8,6)	p5.2
61	(2,2,6,5,2,6,2,5,6)	(1,3,5,2,7,9,6,8,4)	p3.1#p3.1
